um,Gray,Droplet,Ref,Time
1.08331,12.5833,11,out,4.010333333
1.44441,30.1667,11,out,4.010333333
1.80552,45.5694,11,out,4.010333333
2.16662,52.3333,11,out,4.010333333
2.52772,51.3889,11,out,4.010333333
2.88883,47.7778,11,out,4.010333333
3.24993,51.375,11,out,4.010333333
3.61103,51.6296,11,out,4.010333333
3.97214,50.3611,11,out,4.010333333
4.33324,45.3333,11,out,4.010333333
4.69434,40.6991,11,out,4.010333333
5.05545,10.9259,11,out,4.010333333
5.41655,1.875,11,out,4.010333333
5.77765,0.6296,11,out,4.010333333
6.13876,0,11,out,4.010333333
6.49986,0,11,out,4.010333333
