Time,Refuel_time,EDC,Cycle,value
80.73333333333333,50min,50mM,01,0.059899999999999995
80.9,50min,50mM,01,0.059800000000000006
81.06666666666666,50min,50mM,01,0.059800000000000006
81.23333333333333,50min,50mM,01,0.06000000000000001
81.38333333333333,50min,50mM,01,0.059800000000000006
81.55,50min,50mM,01,0.059899999999999995
81.71666666666667,50min,50mM,01,0.0601
81.88333333333333,50min,50mM,01,0.059899999999999995
82.05,50min,50mM,01,0.06019999999999999
82.21666666666667,50min,50mM,01,0.06000000000000001
82.38333333333333,50min,50mM,01,0.06000000000000001
82.55,50min,50mM,01,0.0601
82.71666666666667,50min,50mM,01,0.0601
82.91666666666666,50min,50mM,01,0.0601
83.05,50min,50mM,01,0.06000000000000001
83.21666666666667,50min,50mM,01,0.06000000000000001
83.36666666666667,50min,50mM,01,0.0601
83.53333333333333,50min,50mM,01,0.06019999999999999
83.7,50min,50mM,01,0.06019999999999999
83.86666666666667,50min,50mM,01,0.06019999999999999
84.03333333333333,50min,50mM,01,0.0601
84.2,50min,50mM,01,0.06000000000000001
84.36666666666667,50min,50mM,01,0.06000000000000001
84.56666666666666,50min,50mM,01,0.0601
84.7,50min,50mM,01,0.059800000000000006
84.86666666666667,50min,50mM,01,0.0601
85.03333333333333,50min,50mM,01,0.0601
85.2,50min,50mM,01,0.0601
85.36666666666667,50min,50mM,01,0.06019999999999999
85.51666666666667,50min,50mM,01,0.06019999999999999
85.68333333333334,50min,50mM,01,0.06019999999999999
85.85,50min,50mM,01,0.060300000000000006
86.01666666666667,50min,50mM,01,0.06019999999999999
86.18333333333334,50min,50mM,01,0.06019999999999999
86.35,50min,50mM,01,0.06019999999999999
86.51666666666667,50min,50mM,01,0.06019999999999999
86.68333333333334,50min,50mM,01,0.0601
86.85,50min,50mM,01,0.06019999999999999
87.01666666666667,50min,50mM,01,0.06019999999999999
87.18333333333334,50min,50mM,01,0.0601
87.35,50min,50mM,01,0.060300000000000006
87.55,50min,50mM,01,0.060300000000000006
87.7,50min,50mM,01,0.060300000000000006
87.86666666666667,50min,50mM,01,0.06000000000000001
88.03333333333333,50min,50mM,01,0.0601
88.16666666666666,50min,50mM,01,0.0601
88.33333333333334,50min,50mM,01,0.060300000000000006
88.5,50min,50mM,01,0.0601
88.66666666666666,50min,50mM,01,0.060399999999999995
88.86666666666667,50min,50mM,01,0.06019999999999999
89.0,50min,50mM,01,0.060300000000000006
89.16666666666666,50min,50mM,01,0.06019999999999999
89.33333333333334,50min,50mM,01,0.060300000000000006
89.5,50min,50mM,01,0.060300000000000006
89.65,50min,50mM,01,0.06019999999999999
89.81666666666666,50min,50mM,01,0.060399999999999995
89.98333333333333,50min,50mM,01,0.0601
90.15,50min,50mM,01,0.060399999999999995
90.31666666666666,50min,50mM,01,0.060399999999999995
90.48333333333333,50min,50mM,01,0.060300000000000006
90.65,50min,50mM,01,0.060300000000000006
90.85,50min,50mM,01,0.060399999999999995
91.01666666666667,50min,50mM,01,0.060300000000000006
91.18333333333334,50min,50mM,01,0.06019999999999999
91.31666666666666,50min,50mM,01,0.06000000000000001
91.48333333333333,50min,50mM,01,0.0601
91.65,50min,50mM,01,0.060300000000000006
91.8,50min,50mM,01,0.060399999999999995
91.96666666666667,50min,50mM,01,0.060399999999999995
92.13333333333333,50min,50mM,01,0.060300000000000006
92.3,50min,50mM,01,0.060399999999999995
92.46666666666667,50min,50mM,01,0.060300000000000006
92.63333333333333,50min,50mM,01,0.060300000000000006
92.8,50min,50mM,01,0.06019999999999999
92.96666666666667,50min,50mM,01,0.060300000000000006
93.13333333333333,50min,50mM,01,0.06019999999999999
93.3,50min,50mM,01,0.06019999999999999
93.5,50min,50mM,01,0.060399999999999995
93.66666666666666,50min,50mM,01,0.06050000000000001
93.81666666666666,50min,50mM,01,0.060399999999999995
93.98333333333333,50min,50mM,01,0.060300000000000006
94.15,50min,50mM,01,0.060399999999999995
94.31666666666666,50min,50mM,01,0.06019999999999999
94.48333333333333,50min,50mM,01,0.060399999999999995
94.65,50min,50mM,01,0.06069999999999999
94.81666666666666,50min,50mM,01,0.06019999999999999
94.98333333333333,50min,50mM,01,0.06019999999999999
95.15,50min,50mM,01,0.0606
95.31666666666666,50min,50mM,01,0.060399999999999995
95.48333333333333,50min,50mM,01,0.06050000000000001
95.63333333333333,50min,50mM,01,0.060399999999999995
95.8,50min,50mM,01,0.060399999999999995
95.96666666666667,50min,50mM,01,0.060399999999999995
96.13333333333333,50min,50mM,01,0.06050000000000001
96.3,50min,50mM,01,0.06000000000000001
96.46666666666667,50min,50mM,01,0.060300000000000006
96.63333333333333,50min,50mM,01,0.060399999999999995
96.8,50min,50mM,01,0.060300000000000006
96.96666666666667,50min,50mM,01,0.060399999999999995
97.13333333333333,50min,50mM,01,0.060399999999999995
97.3,50min,50mM,01,0.060399999999999995
97.46666666666667,50min,50mM,01,0.060399999999999995
97.61666666666667,50min,50mM,01,0.06019999999999999
97.78333333333333,50min,50mM,01,0.060399999999999995
97.95,50min,50mM,01,0.060399999999999995
98.11666666666667,50min,50mM,01,0.06050000000000001
98.28333333333333,50min,50mM,01,0.060399999999999995
98.45,50min,50mM,01,0.060399999999999995
98.61666666666667,50min,50mM,01,0.060399999999999995
98.78333333333333,50min,50mM,01,0.06069999999999999
98.95,50min,50mM,01,0.060399999999999995
