Time,entry,Refuel_time,EDC,Cycle,variable,value
32.85,00,8min,50mM,02,C4,0.02489999999999999
33.016666666666666,00,8min,50mM,02,C4,0.024499999999999994
33.18333333333334,00,8min,50mM,02,C4,0.023599999999999996
33.35,00,8min,50mM,02,C4,0.0233
33.516666666666666,00,8min,50mM,02,C4,0.023400000000000004
33.66666666666667,00,8min,50mM,02,C4,0.023400000000000004
33.83333333333333,00,8min,50mM,02,C4,0.022900000000000004
34.0,00,8min,50mM,02,C4,0.0228
34.16666666666667,00,8min,50mM,02,C4,0.021999999999999992
34.33333333333333,00,8min,50mM,02,C4,0.0218
