Time,Azide_1,Azide_2,Type,value
27.1,kArg,kArg,Click,0.031299999999999994
27.266666666666666,kArg,kArg,Click,0.030899999999999983
27.416666666666668,kArg,kArg,Click,0.03059999999999999
27.583333333333332,kArg,kArg,Click,0.030799999999999994
27.75,kArg,kArg,Click,0.031
27.916666666666668,kArg,kArg,Click,0.03059999999999999
28.083333333333332,kArg,kArg,Click,0.029899999999999982
28.25,kArg,kArg,Click,0.0305
28.416666666666668,kArg,kArg,Click,0.030299999999999994
28.583333333333332,kArg,kArg,Click,0.030299999999999994
28.75,kArg,kArg,Click,0.029899999999999982
28.916666666666668,kArg,kArg,Click,0.030299999999999994
29.083333333333332,kArg,kArg,Click,0.03
29.25,kArg,kArg,Click,0.030099999999999988
29.4,kArg,kArg,Click,0.03
29.566666666666666,kArg,kArg,Click,0.030099999999999988
29.733333333333334,kArg,kArg,Click,0.029200000000000004
29.9,kArg,kArg,Click,0.029799999999999993
30.066666666666666,kArg,kArg,Click,0.029899999999999982
30.233333333333334,kArg,kArg,Click,0.029899999999999982
30.4,kArg,kArg,Click,0.029799999999999993
0.0,kArg,kArg,Click,1.7671999999999999
0.15,kArg,kArg,Click,1.9038
0.31666666666666665,kArg,kArg,Click,1.9234999999999998
0.48333333333333334,kArg,kArg,Click,1.9251
0.65,kArg,kArg,Click,1.9181
0.8166666666666667,kArg,kArg,Click,1.9093
0.9833333333333333,kArg,kArg,Click,1.9009
1.15,kArg,kArg,Click,1.8945999999999998
1.3166666666666667,kArg,kArg,Click,1.8861999999999999
1.4833333333333334,kArg,kArg,Click,1.8795
1.65,kArg,kArg,Click,1.8695
1.8,kArg,kArg,Click,1.8612
1.9666666666666666,kArg,kArg,Click,1.8491
2.1333333333333333,kArg,kArg,Click,1.8414
2.3,kArg,kArg,Click,1.8301999999999998
2.466666666666667,kArg,kArg,Click,1.8161999999999998
2.6333333333333333,kArg,kArg,Click,1.8018999999999998
2.8,kArg,kArg,Click,1.7877999999999998
2.966666666666667,kArg,kArg,Click,1.7728
3.1333333333333333,kArg,kArg,Click,1.7601
3.3,kArg,kArg,Click,1.7445
3.466666666666667,kArg,kArg,Click,1.7268
3.6333333333333333,kArg,kArg,Click,1.7086
3.783333333333333,kArg,kArg,Click,1.6915
3.95,kArg,kArg,Click,1.6713
4.116666666666666,kArg,kArg,Click,1.6529999999999998
4.283333333333333,kArg,kArg,Click,1.6300999999999999
4.45,kArg,kArg,Click,1.6105999999999998
4.616666666666666,kArg,kArg,Click,1.5871
4.783333333333333,kArg,kArg,Click,1.5664
4.95,kArg,kArg,Click,1.5376999999999998
5.116666666666666,kArg,kArg,Click,1.5156999999999998
5.283333333333333,kArg,kArg,Click,1.4896999999999998
5.45,kArg,kArg,Click,1.4622
5.616666666666666,kArg,kArg,Click,1.4378
5.766666666666667,kArg,kArg,Click,1.4058
5.933333333333334,kArg,kArg,Click,1.3814
6.1,kArg,kArg,Click,1.3673
6.266666666666667,kArg,kArg,Click,1.3459999999999999
6.433333333333334,kArg,kArg,Click,1.3215
6.6,kArg,kArg,Click,1.2754999999999999
6.766666666666667,kArg,kArg,Click,1.232
6.933333333333334,kArg,kArg,Click,1.1903
7.1,kArg,kArg,Click,1.1372
7.266666666666667,kArg,kArg,Click,1.1019999999999999
7.433333333333334,kArg,kArg,Click,1.0593
7.583333333333333,kArg,kArg,Click,1.0063
7.75,kArg,kArg,Click,0.9674999999999999
7.916666666666667,kArg,kArg,Click,0.9326
8.083333333333334,kArg,kArg,Click,0.8996000000000001
8.25,kArg,kArg,Click,0.8734000000000001
8.416666666666666,kArg,kArg,Click,0.8505
8.583333333333334,kArg,kArg,Click,0.8316
8.75,kArg,kArg,Click,0.8112
8.916666666666666,kArg,kArg,Click,0.7899
9.083333333333334,kArg,kArg,Click,0.7731
9.25,kArg,kArg,Click,0.7574000000000001
9.416666666666666,kArg,kArg,Click,0.7407
9.566666666666666,kArg,kArg,Click,0.7272000000000001
9.733333333333333,kArg,kArg,Click,0.7123
9.9,kArg,kArg,Click,0.7007
10.066666666666666,kArg,kArg,Click,0.6899000000000001
10.233333333333333,kArg,kArg,Click,0.676
10.4,kArg,kArg,Click,0.666
10.566666666666666,kArg,kArg,Click,0.658
10.733333333333333,kArg,kArg,Click,0.6478
10.9,kArg,kArg,Click,0.6365000000000001
11.066666666666666,kArg,kArg,Click,0.629
11.233333333333333,kArg,kArg,Click,0.6239
11.4,kArg,kArg,Click,0.6138
11.55,kArg,kArg,Click,0.6055
11.716666666666667,kArg,kArg,Click,0.5958
11.883333333333333,kArg,kArg,Click,0.5888
12.05,kArg,kArg,Click,0.5775
12.216666666666667,kArg,kArg,Click,0.5722
12.383333333333333,kArg,kArg,Click,0.562
12.55,kArg,kArg,Click,0.5571
12.716666666666667,kArg,kArg,Click,0.5481
12.883333333333333,kArg,kArg,Click,0.5458000000000001
13.05,kArg,kArg,Click,0.5329
13.216666666666667,kArg,kArg,Click,0.5306000000000001
13.383333333333333,kArg,kArg,Click,0.5189
13.55,kArg,kArg,Click,0.5124000000000001
13.7,kArg,kArg,Click,0.5023
13.866666666666667,kArg,kArg,Click,0.49870000000000003
14.033333333333333,kArg,kArg,Click,0.49050000000000005
14.2,kArg,kArg,Click,0.486
14.366666666666667,kArg,kArg,Click,0.47709999999999997
14.533333333333333,kArg,kArg,Click,0.4686
14.7,kArg,kArg,Click,0.4598
14.866666666666667,kArg,kArg,Click,0.45330000000000004
15.033333333333333,kArg,kArg,Click,0.4454
15.2,kArg,kArg,Click,0.4385
15.366666666666667,kArg,kArg,Click,0.42769999999999997
15.516666666666667,kArg,kArg,Click,0.4224
15.683333333333334,kArg,kArg,Click,0.41400000000000003
15.85,kArg,kArg,Click,0.40690000000000004
16.016666666666666,kArg,kArg,Click,0.397
16.183333333333334,kArg,kArg,Click,0.3913
16.35,kArg,kArg,Click,0.3821
16.516666666666666,kArg,kArg,Click,0.37649999999999995
16.683333333333334,kArg,kArg,Click,0.36539999999999995
16.85,kArg,kArg,Click,0.35629999999999995
17.016666666666666,kArg,kArg,Click,0.35029999999999994
17.183333333333334,kArg,kArg,Click,0.344
17.35,kArg,kArg,Click,0.3378
17.5,kArg,kArg,Click,0.3317
17.666666666666668,kArg,kArg,Click,0.32309999999999994
17.833333333333332,kArg,kArg,Click,0.31599999999999995
18.0,kArg,kArg,Click,0.3073
18.166666666666668,kArg,kArg,Click,0.30489999999999995
18.333333333333332,kArg,kArg,Click,0.2956
18.5,kArg,kArg,Click,0.28890000000000005
18.666666666666668,kArg,kArg,Click,0.2823
18.833333333333332,kArg,kArg,Click,0.27649999999999997
19.0,kArg,kArg,Click,0.26749999999999996
19.166666666666668,kArg,kArg,Click,0.2639
19.333333333333332,kArg,kArg,Click,0.2551
19.483333333333334,kArg,kArg,Click,0.24860000000000002
19.65,kArg,kArg,Click,0.2451
19.816666666666666,kArg,kArg,Click,0.2391
19.983333333333334,kArg,kArg,Click,0.2326
20.15,kArg,kArg,Click,0.22890000000000002
20.316666666666666,kArg,kArg,Click,0.2195
20.483333333333334,kArg,kArg,Click,0.2135
20.65,kArg,kArg,Click,0.2075
20.816666666666666,kArg,kArg,Click,0.2024
20.983333333333334,kArg,kArg,Click,0.1967
21.15,kArg,kArg,Click,0.1913
21.316666666666666,kArg,kArg,Click,0.1858
21.466666666666665,kArg,kArg,Click,0.1791
21.633333333333333,kArg,kArg,Click,0.1752
21.8,kArg,kArg,Click,0.16979999999999998
21.966666666666665,kArg,kArg,Click,0.16440000000000002
22.133333333333333,kArg,kArg,Click,0.161
22.3,kArg,kArg,Click,0.15480000000000002
22.466666666666665,kArg,kArg,Click,0.1505
22.633333333333333,kArg,kArg,Click,0.1461
22.8,kArg,kArg,Click,0.14079999999999998
22.966666666666665,kArg,kArg,Click,0.1381
23.133333333333333,kArg,kArg,Click,0.13319999999999999
23.3,kArg,kArg,Click,0.1291
23.45,kArg,kArg,Click,0.1267
23.616666666666667,kArg,kArg,Click,0.122
23.783333333333335,kArg,kArg,Click,0.11759999999999998
23.95,kArg,kArg,Click,0.11529999999999999
24.116666666666667,kArg,kArg,Click,0.11069999999999999
24.283333333333335,kArg,kArg,Click,0.10880000000000001
24.45,kArg,kArg,Click,0.1049
24.616666666666667,kArg,kArg,Click,0.10239999999999999
24.783333333333335,kArg,kArg,Click,0.10039999999999999
24.95,kArg,kArg,Click,0.098
25.116666666666667,kArg,kArg,Click,0.09589999999999999
25.283333333333335,kArg,kArg,Click,0.09339999999999998
25.433333333333334,kArg,kArg,Click,0.09089999999999998
25.6,kArg,kArg,Click,0.089
25.766666666666666,kArg,kArg,Click,0.08759999999999998
25.933333333333334,kArg,kArg,Click,0.0852
26.1,kArg,kArg,Click,0.0826
26.266666666666666,kArg,kArg,Click,0.08249999999999999
26.433333333333334,kArg,kArg,Click,0.0796
26.6,kArg,kArg,Click,0.0796
26.766666666666666,kArg,kArg,Click,0.07719999999999999
26.933333333333334,kArg,kArg,Click,0.0774
27.1,kArg,kArg,Click,0.07719999999999999
27.266666666666666,kArg,kArg,Click,0.07569999999999999
27.416666666666668,kArg,kArg,Click,0.0754
27.583333333333332,kArg,kArg,Click,0.07419999999999999
27.75,kArg,kArg,Click,0.0736
27.916666666666668,kArg,kArg,Click,0.07289999999999999
28.083333333333332,kArg,kArg,Click,0.0713
28.25,kArg,kArg,Click,0.07150000000000001
28.416666666666668,kArg,kArg,Click,0.07150000000000001
28.583333333333332,kArg,kArg,Click,0.07050000000000001
28.75,kArg,kArg,Click,0.07069999999999999
28.916666666666668,kArg,kArg,Click,0.0701
29.083333333333332,kArg,kArg,Click,0.07039999999999999
29.25,kArg,kArg,Click,0.06919999999999998
29.4,kArg,kArg,Click,0.0696
29.566666666666666,kArg,kArg,Click,0.0688
29.733333333333334,kArg,kArg,Click,0.06739999999999999
29.9,kArg,kArg,Click,0.06839999999999999
30.066666666666666,kArg,kArg,Click,0.06889999999999999
30.233333333333334,kArg,kArg,Click,0.068
30.4,kArg,kArg,Click,0.0685
0.0,kArg,kArg,Control,1.8509
0.13333333333333333,kArg,kArg,Control,1.9005999999999998
0.3,kArg,kArg,Control,1.8581999999999999
0.4666666666666667,kArg,kArg,Control,1.851
0.6333333333333333,kArg,kArg,Control,1.8406
0.8,kArg,kArg,Control,1.8279999999999998
0.9666666666666667,kArg,kArg,Control,1.8149
1.1333333333333333,kArg,kArg,Control,1.803
1.3,kArg,kArg,Control,1.7893999999999999
1.4666666666666666,kArg,kArg,Control,1.7764
1.6166666666666667,kArg,kArg,Control,1.7622
1.7833333333333334,kArg,kArg,Control,1.7485
